Adress,Price,Room,Bath,Property_type,Bedrooms_available,Available_from,Available_for,Sharing_with,Owner_occupied,Preferences,Description,Date_entered/renewed,Property_views
"The Way Barnhall Meadows, Leixlip, Co. Kildare",Ä850 per month,Single Room,En-suite,House,1,"Apr 12th, 2023",3 Months,1,No,Female,"DescriptionClose to M4/N4 motorway, Intel 2km. Train station 2km. Dublin Bus stop 800m.
Please email your interest with one reference ( If you are a student, reference letter from university is acceptable) . Bright, spacious double room (for single use only).  PLEASE NOTE THIS EN-SUITE ROOM IS ONLY AVAILABLE FOR THREE MONTHS (90 DAYS) . Ample storage space. Clean, tidy and pet free house. Five minute drive from Intel and HP. Within walking distance EUROSPAR ATM INSOMNIA MACE FUEL STATION, pharmacy, restaurants. Five minutes off the M4. Nearby towns - Maynooth, Lucan, Celbridge, Blanchardstown, Clonee, Clondalkin, Dunboyne. Bus to from Dublin City center from outside estate. Nice quiet area with parking. Paid monthly WiFi √¢¬‚‚‚‚‚‚‚Äö¨≈°¨≈°¨≈°¬¨20 p/m. Suitable for a non smoker pref. Popular accommodation with Intel/HP employees. Deposit, along with one month rent in advance is required. Room can be rented for 3 month period. Bills are included in rent. Deposit and references will be required. Please EMAIL with enquiries and a short note about yourself. Private numbers not answered. Thank you.",03/04/2023,473
"26 Lassara Heights, Warrenpoint, Co. Down",From £200 (Ä233) to £250 (Ä291) per month,Single & Double Room,Shared Bathroom,House,2,Immediately,1 Year +,1,Yes,Male / Female,"DescriptionSingle  room,200  + DOUBLE ROOM AT 250, these are the Correct monthly rents: comfortable house , 10 min walk from Warrenpoint sq., good bus and taxi service to Newry.  I live here, there  is 1 other  tenant. I am a civil servant am  often in Dublin working, but currently I home work from a  small office in the house. House has front patio and very large public So for parking. Ample  back yard with patio furniture. Shared bathroom, kitchen, Livingroom.
TV with all usual  UK channels + ROI ones. DVD player, video recorder,  broad band. House phone.
Kitchen has gas cooker on calor gas. Dishwasher.  fridge, freezer. washing machine, Microwave. New gas heating with instant hot water on tap. Bathroom also has electric shower. 
Bills are low: gas and electricity on pay as you go vouchers, gas for cooker  shared, TV licence shared. House well supplied with cooking equipment, and household linens etc., no need to bring anything.
Broadband and local household rates included in rent.
Deposit 50 pounds .NO SMOKERS..
I WILL PUT UP PHOTOS OF DOUBLE ROOM SHORTLY. SINGLE ROOM AVAILABLE NOW- DOUBLE ROOM AVAILABLE FROM 20TH MARCH",31/03/2023,102
"John's Lane, Ballykea, Skerries, Skerries, Co. Dublin","Ä1,300 per month",Double Room,En-suite,House,1,Immediately,1 Year,2,No,Male / Female / +1 Person,"DescriptionLooking for a person to share a fabulous four bedroom detached house in Loughshinny. The house is in a quiet and private gated community in Loughshinny, 

The house has all the mod cons expected in a modern and luxurious dwelling. 

Situated 15 minutes from Swords and 20 minutes from Dublin Airport.  A regular bus service is 2 minutes walk away from the house and a train service in Rush is nearby as well. 

The house is ideally located both 5 minute drive from Rush and Skerries. Loughshinny beach is also just down the road.

The room for rent is a large double bedroom with a walk in wardrobe and private shower/toilet.

References required.",12/04/2023,"1,052"
"Apartment 6, Booterstown Wood, Booterstown Avenue, Booterstown, Co. Dublin","Ä1,200 per month",Double Room,Shared Bathroom,Apartment,1,"Apr 18th, 2023",6 Months,1,Yes,Male / Female,"DescriptionThis is a great double room in a well maintained development. The apartment is fully furnished and in pristine condition. Almost exclusive use of the main bathroom (another room has  en-suite) , there is enough room for the desk in the bedroom. Available for a person who likes to live in a quite very clean organized environment. There is mini dog living in the apartment, so looking for someone who loves dogs :)  
I am late 30's female, working from home 4days/week looking to share this apartment with another person (only 1 person).

Its quiet and save residential neighborhood. The bus stop is only 5min walk away from the house and dart stop (Booterstown) is 17min walk.

Apartment is available for 6 months, rent might be extended if we are getting along well.

Bills (shared) are not included (gas heating, electricity, broadband). Deposit required 1200Eur. References and ID must be provided (for final agreement).
Please provide information about yourself via email only for consideration.",13/04/2023,578
"Boireann Bheag, Roscam, Co. Galway",Ä590 per month,Double Room,Shared Bathroom,House,1,"May 20th, 2023",1 Year +,4,Yes,Male / Female,"DescriptionPHONE OR TEXT CONTACT PREFERRED. 
Very large double Room available looking out on green area. Bills extra. It's a five bed semi detach, with male and female tenants. Lovely quiet house in beautifully landscaped peaceful estate. All mod cons, microwave, dryer, broadband ample parking, large steeltech shed for bikes, storage etc.. etc...  Includes solid wood flooring in living and dining rooms, fully tiled bathrooms, modern fitted kitchen etc.. There are tennis and basketball courts available in the estate as well as football pitches, playgrounds etc.. for residents use. Boireann Bheag is a very conveniently located estate for GMIT, Parkmore business Park, Galway Clinic etc.. It is also only 5 minutes from the Dublin Motorway. Must be seen to be appreciated.",11/04/2023,"1,036"
"2 Willow Crescent, Riverbank, Annacotty, Castletroy, Co. Limerick",From Ä775 to Ä875 per month,Double Room,En-suite,House,3,"May 10th, 2023",1 Year +,3,No,Male / Female,"Description3 Rooms available for Rent from the 10th of May for 12 month lease minimum, in Newly renovated 3 storey/ 4 room home in Annacotty (One room kept for landlord to use ocassionaly). Prices Inclusive of Internet (Direct Fibre Broadband), Bins, TV License & Alarm system charges (connected to Gardai). 
Group of 3 tenants coming together will have preference. 
Rooms available as follows: 
-	Top Floor Loft with Double Bed, Private Ensuite + Office space with wired Internet connection, 33sqm in total  875 /month
-	First Floor Front Bedroom with King size Bed & Private Ensuite  825 /month
-	First Floor Rear Bedroom with Double Bed & separated Bathroom for Private Use.  775 /month
Property 10 minute cycle from University of Limerick or 25 minute walk. Newtown shopping centre (bus stop) 5 minute walk from the address. Very close to the National Technology Park, University of Limerick (25 minute walk) and motorway. This is a Lovely and quiet state in one of the most sought after areas in Limerick. Green area nearby.
Looking for tenants that are tidy and respective of privacy and the property. Strictly no smoking & no Pets allowed. The house is in superb condition and shall remain so. Security deposit required. Looking for individuals for each room only. 


Property includes: 
-	Fully equipped kitchen: 
-	Washing machine
-	Tumble Dryer
-	Dishwasher 
-	Fridge & Freezer 
-	Microwave
-	Fan Oven 
-	Induction Cooker
-	Kettle & Toaster
-	Full set of kitchen equipment, cookware, crockery, and utensils for everyday cooking. 
-	Smart TV on Living Room 
-	Electric Fire w/ Heating Fan
-	Central Gas Heating System w/ smart controls
-	Electric Power Showers
-	All-Round LED Lighting
-	Direct Fibre Superspeed Internet
-	Alarm System connected to Gardai w/ smart controls
-	Back garden with Sheltered area perfect for bikes / Barbeque 
-	Secure Enclosure for Bins placed at front of Property
-	Parking available in front of property
-	Attic Space available for additional storage
References required from previous landlords.
Please send us an email with your information and we will shortlist applications shortly.",09/04/2023,"1,060"
"Taylors Hill, Galway, Salthill, Co. Galway",Ä900 per month,Double Room,Shared Bathroom,House,1,Immediately,1 Year +,1,Yes,Male / Female,"DescriptionONE PERSON / ONE ROOM ONLY.

Large, bright, quiet south facing DOUBLE  ROOM - with own main bathroom - for ONE OCCUPANT ONLY - in a 4 bedroom, detached property located in a highly sought after luxury development in Taylors Hill. Convenient for transport links, located next to bus stop. 10 minutes  walk to West End / City / Claddagh. 10 minutes walk to Salthill Prom / Beaches. Plus gym / swimming pool and golf locally. Also only 20 minute walk to University Hospital Galway and NUIG University. 
Room Furnished  with double bed and large built in triple wardrobes. Use of main bathroom and large kitchen diner, plus downstairs cloakroom. 

Tidy, quiet, SINGLE, non smoker, preferred please. Sharing with owner, a professional male. No overnight guests - unless pre-agreed, no pets or parties. 

Available from April for a MINIMUM TERM OF 3 MONTHS+ / FLEXIBLE BY ARRANGEMENT.

Rent includes cost of refuse bins, wi-fi, tv licence, garden maintenance.
Oil and electric bills NOT INCLUDED. 
Usual identification and references - One month deposit.
Please kindly provide brief details about yourself when enquiring.",14/04/2023,"7,786"
"19 Cnoc na Greine Green, Kilcullen, Co. Kildare",Ä95 per week,Double Room,En-suite,House,1,"Apr 23rd, 2023",1 Year,1,Yes,Female,"DescriptionMonday-Friday** rental (not weekends)
Rental: 95 euro per week (includes bills) 
Female only, non-smoker.
Double bedroom to rent in a bright, clean house (lovely south-facing garden) in a quiet estate. Sole use of main bathroom. 
Walking distance to Kilcullen. 3 minute drive to the M7/M9, 10 mins to Newbridge, 15 mins to Naas.",11/04/2023,298
"93 Beech Park, Ballincollig, Cork, Ballincollig, Co. Cork",Ä550 per month,Double Room,Shared Bathroom,House,1,Immediately,6 Months,1,Yes,Male / Female,"DescriptionDouble Room available in Ballincollig 

10 minutes walk to Ballincollig Town Centre 

10 - 15 minutes drive to MTU / UCC

30 minutes bus journey to MTU / UCC",11/04/2023,"1,923"
"Coolfin Meadows, Portlaw, Co. Waterford",Ä140 per week,Single Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 27583",21/03/2023,168
